x,y,z,inflammatory_signal,ecm
-670,-530,0,0,10
-650,-530,0,0,10
-630,-530,0,0,10
-610,-530,0,0,10
-590,-530,0,0,10
-570,-530,0,0,10
-550,-530,0,0,10
-530,-530,0,0,10
-510,-530,0,0,10
-490,-530,0,0,10
-470,-530,0,0,10
-450,-530,0,0,10
-430,-530,0,0,10
-410,-530,0,0,10
-390,-530,0,0,10
-370,-530,0,0,10
-350,-530,0,0,10
-330,-530,0,0,0
-310,-530,0,0,0
-290,-530,0,0,0
-270,-530,0,0,0
-250,-530,0,0,0
-230,-530,0,0,0
-210,-530,0,0,0
-190,-530,0,0,0
-170,-530,0,0,0
-150,-530,0,0,0
-130,-530,0,0,0
-110,-530,0,0,0
-90,-530,0,0,0
-70,-530,0,0,0
-50,-530,0,0,0
-30,-530,0,0,0
-10,-530,0,0,0
10,-530,0,0,0
30,-530,0,0,0
50,-530,0,0,0
70,-530,0,0,0
90,-530,0,0,0
110,-530,0,0,0
130,-530,0,0,0
150,-530,0,0,0
170,-530,0,0,0
190,-530,0,0,0
210,-530,0,0,0
230,-530,0,0,0
250,-530,0,0,0
270,-530,0,0,0
290,-530,0,0,0
310,-530,0,0,0
330,-530,0,0,10
350,-530,0,0,10
370,-530,0,0,10
390,-530,0,0,10
410,-530,0,0,10
430,-530,0,0,10
450,-530,0,0,10
470,-530,0,0,10
490,-530,0,0,10
510,-530,0,0,10
530,-530,0,0,10
550,-530,0,0,10
570,-530,0,0,10
590,-530,0,0,10
610,-530,0,0,10
630,-530,0,0,10
650,-530,0,0,10
670,-530,0,0,10
690,-530,0,0,10
710,-530,0,0,10
730,-530,0,0,10
750,-530,0,0,10
770,-530,0,0,10
790,-530,0,0,10
-790,-510,0,0,10
-770,-510,0,0,10
-750,-510,0,0,10
-730,-510,0,0,10
-710,-510,0,0,10
-690,-510,0,0,10
-670,-510,0,0,10
-650,-510,0,0,10
-630,-510,0,0,10
-610,-510,0,0,10
-590,-510,0,0,10
-570,-510,0,0,10
-550,-510,0,0,10
-530,-510,0,0,10
-510,-510,0,0,10
-490,-510,0,0,10
-470,-510,0,0,10
-450,-510,0,0,10
-430,-510,0,0,10
-410,-510,0,0,10
-390,-510,0,0,10
-370,-510,0,0,10
-350,-510,0,0,0
-330,-510,0,0,0
-310,-510,0,0,0
-290,-510,0,0,0
-270,-510,0,0,0
-250,-510,0,0,0
-230,-510,0,0,0
